key;nl
title;Home
top;Alle ondersteuning die je nodig hebt.
topDescription;Met onze applicatie krijg je een ongelofelijke ervaring op je festival. Support My Day heeft veel functies die ervoor zorgen dat jij een onvergetelijke dag hebt. Alle informatie die je nodig hebt. Direct op je smartphone.
indexAppTitleFindFriends;Een gemakkelijke manier om je vrienden te vinden
homeDownloadPage;Download
homeDescriptionFindFriends;Wie kent het niet. Je loopt op een festival en bent je vrienden kwijt. Met de Friend Finder kan je jouw vrienden makkelijk terugvinden.
homeDrink;Waar je drinken kunt krijgen
homeDrinkDescription;Wil je wat te drinken of eten halen of even naar de WC? Doe je dit liever niet omdat je favoriete artiest zo optreedt? Geen probleem! Op onze interactieve kaart kan je door middel van heat maps precies zien welke plekken het rustigst zijn. Zo hoef je dus niks te missen!
homePlanTitle;Plan je hele dag, waar en wanneer
homePlanDescription;Met planningsagenda kan je precies zien welke artiest waar optreedt. Ook kan je favorieten selecteren en krijg je een melding vóór de show begint. Zo mis je niks en hoef je nooit meer met papieren programma’s te lopen.
homePlanMore;Meer over de app
